file,merchant,date,time,currency,category,subtotal_orig,tax_orig,total_orig,subtotal_usd,tax_usd,total_usd,payment_method,items,ocr_text_preview
010.jpg,SUHEAT,,08:30:00,,Food & Beverage,200.0,,,,,,,[],"E NG OẬT
SUHEAT
8 30
200.00"
011.jpg,PARK-DURN,2018-03-23,15:27:00,,Parking,,,,,,,CASH,[],"RECELPI
613
Receipt Number:
KO131800235097
¡ENTRY
TIME:
23.03.18
'EXIT TIME:
23:0318
PARK-DURN
14:59
15:27
0:00:28
KIND OF PAYMENT:
CASH."
012.jpg,CRACK LIGHTS,,15:29,MYR,Retail,190.57,,263.025,45.7368,,63.126,,"[{""name"": ""PRISO 80 CONTR"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""99 UNT COP"", ""qty"": null, ""unit_price"": 1612, ""total_price"": null}]","ode
amer
cadress
GST-No:
ESHR
WT51129
V236-BK 12WAWV
5:29
CRACK LIGHTS
25:43 RN
190.57
SR
52683
9334)
ERN 155:66
SRA
CH50688
ETER:
TRACK-BRE
99 UNT COP RM 1612
PRISO 80 CONTR
W LCN00211
UNIT
Tenorsans"
013.jpg,OLDTOWN WHITE COFFEE,2018-03-22,12:44:00,MYR,Food & Beverage,25.94,1.53,30.24,6.2256,0.3672,7.2576,,"[{""name"": ""BR10 Stm Ginger R"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""TF2 (H) Teh Tarik:"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""HS4"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""SN5 Curry Mee"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""TEZ\""(C)-Lemon T"", ""qty"": null, ""unit_price"": 13.87, ""total_price"": null}]","OLDTOWN WHITE COFFEE
Old Town Kopitian Sdn Bhd (716269-X)
Sri Rampai
Tel: 03-4148 1876
she Guest Check
THISSIS NOTEA RECEIPT**
GST ID:000801587200
: 4 COUNTER3
Check: 37617)
2009 LIZA
i Cover:i
22 Mar"
014.jpg,UROKO JAPANESE CUISINE SDN BHD,2018-03-20,18:41:02,MYR,Food & Beverage,46.0,3.0,53.0,11.04,0.72,12.72,CASH,"[{""name"": ""KO NABE INANIWA UDON"", ""qty"": 1, ""unit_price"": 24.0, ""total_price"": 24.0}, {""name"": ""GREEN TEA"", ""qty"": 1, ""unit_price"": 1.0, ""total_price"": 1.0}, {""name"": ""GYOZA 5pcs"", ""qty"": 1, ""unit_price"": 15.0, ""total_price"": 15.0}, {""name"": ""GARLIC CHAHAN"", ""qty"": 1, ""unit_price"": 6.0, ""total_price"": 6.0}]","Teff Pio Zpoys.
UROKO JAPANESE CUISINE SDN BHD:
22A-1, JALAN 17/54,
SECTION 17
46400 PETALING JAYA,
-SELANGOR.
03-7932 1023/0191
GST Reg No: 001126838272
Bill Nö
Date
Cashiei
Table No
01H-25029
:20/03"
015.jpg,TEO HENG STATIORER & BOOKS,2018-01-27,,MYR,Retail,25.8,1.55,27.35,6.192,0.372,6.564,CASH,"[{""name"": ""DOUBLE SIDE FOAM TAPE 18MA"", ""qty"": 1, ""unit_price"": 2.74, ""total_price"": 2.74}, {""name"": ""CANIS SQ BOOK 200"", ""qty"": 1, ""unit_price"": 5.2, ""total_price"": 5.2}, {""name"": ""EADLE F1 200 FOOLSCAP BOOK"", ""qty"": 1, ""unit_price"": 4.09, ""total_price"": 4.09}, {""name"": ""EAGLE F4 120 NUMBERING FOOLSCAP BOOK"", ""qty"": 1, ""unit_price"": 25.6, ""total_price"": 25.6}]","-
*.
TEO HENG STATIORER & BOOKS
• 1291
ST Na. 100036177385
-ESTAPINITEN TAS
CASH
RoceiptNo.: CS1808/27175
sto: 27/01/201B
(R30
3. 80•
1365
3.90
4.09
- DOUBLE SIDE FOAM TAPE 18MA
8557360505128
2.74
4.0"
016.jpg,TED HENG STATIDERY A BILKS,2018-03-15,,MYR,Retail,120.0,7.2,127.2,28.8,1.728,30.528,CASH,"[{""name"": ""ARTLINE"", ""qty"": null, ""unit_price"": null, ""total_price"": 120.0}]","TED HENG STATIDERY A BILKS
SAT AND 00.
ESSIPLIAR TAKINVOICEE
CS180328317 Id: 15032018
AUNT
(RAD
270 7.41
120.00.
ARTLINE TO
Toil (y.:
SUB-TOTAL (8X)
TOTAS. TAX
ROUNDINO
TOTAL.
CASIE
CHANGE
120.00
•.
1"
017.jpg,Ted Hene Stationery E Books,2018-01-29,10:06:00,MYR,Retail,6.0,0.06,6.06,1.44,0.0144,1.4544,CASH,"[{""name"": ""Carbon Paper"", ""qty"": 2, ""unit_price"": 1.0, ""total_price"": 2.0}]","TED HENE STATIONERY E BOOKS
(0014Б 637-м)
NONSS LALAN BESAR, 45600 BATANG BERTUNTAT
SELANGOR DAROL EHSAN:
:TEL F03.3271.2672
FAX: 03-32719481
GST No. 000689913856
SIMIRAND
CASH
Receipt No: CS1801/2722"
018.jpg,STVÇ ENTERPRISE,2018-01-02,,MYR,Retail,4.2,0.0,5.2,1.008,0.0,1.248,CASH,"[{""name"": null, ""qty"": 1, ""unit_price"": 4.2, ""total_price"": 4.2}]","нЕри5
STVÇ ENTERPRISE SONDHD
(1(2283(-4)
B.* 30, Jalar Ijok Pereal 1,
Pusat Niaga Ijck Persal,
48000 Fiok, Selangor.
TAX II/OICE
(BST 1D 19. s 002017008324)
02/01/2018
Castlari 128
10346155
N0:0100036"
019.jpg,F&P PHARMACY,2018-03-02,16:46:00,MYR,Healthcare,30.68,1.22,31.9,7.3632,0.2928,7.656,CASH,"[{""name"": ""HOMECARE GASCOAL 50MG"", ""qty"": 1, ""unit_price"": 5.667, ""total_price"": 5.67}, {""name"": ""P.P NAPROXEN NA 275 MG"", ""qty"": 1, ""unit_price"": 6.0, ""total_price"": 6.0}, {""name"": ""YE\u0130 LOW COTION 30 MI"", ""qty"": 1, ""unit_price"": 3.58, ""total_price"": 3.58}, {""name"": ""PANAD\u00d6L SOL\u00dcBLE TABLET"", ""qty"": 1, ""unit_price"": 6.13, ""total_price"": 6.13}, {""name"": ""PMS GAUZE BANDAGE 5CM X AM"", ""qty"": 1, ""unit_price"": 5.0, ""total_price"": 5.0}, {""name"": ""DETTOL SO ML"", ""qty"": 1, ""unit_price"": 6.0, ""total_price"": 6.0}]","3-1707067
F&P PHARMACY
(002309592-P):
NO'20, GROUNDFLOOR
JALAN BSA0IG TAMAN BÜKIT SERDANG
SEKSYEN 10 43300 SERI KEMBÄNGAN
SELANGOR DARUL EHSAN
TEL 03-89599823
GST Reg NO (001880666112.
TAX INVOICE
Dor"
020.jpg,UNHAKKA INTERNATICHAL SENI SHD,,,MYR,Food & Beverage,46.71,2.79,49.5,11.2104,0.6696,11.88,CASH,"[{""name"": ""Pryrsart Modi"", ""qty"": 1, ""unit_price"": 1.19, ""total_price"": 1.19}, {""name"": ""crarigo"", ""qty"": 1, ""unit_price"": 7.1, ""total_price"": 7.1}, {""name"": ""Toco"", ""qty"": 1, ""unit_price"": 1.8, ""total_price"": 1.8}, {""name"": ""Toca irasure"", ""qty"": 1, ""unit_price"": 54.2, ""total_price"": 54.2}, {""name"": ""DNR WANG RICE"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","-'.
•. •
..
_A03026
UNHAKKA INTERNATICHAL SENI SHD'
•07Hx77141122
(86731517)
'12, Jatan Tempal 74. Kemasan Perindursten
Terpo l1200 Johor Betrutshor
TAX AVOICE:
imoica o: OR18330702170417
TER 15010030"
021.jpg,WIHAKKA INTERNATIOHAL SON,2016-03-07,15:03:50,MYR,Food & Beverage,157.1,0.0,157.1,37.704,0.0,37.704,CASH,"[{""name"": ""BAR WAND RICE"", ""qty"": 1, ""unit_price"": null, ""total_price"": 157.1}]","•
•
4,
:
=
•
: A03052
WIHAKKA INTERNATIOHAL SON SY
Mar 2016 t5:
(60733127)
12. evan Tançol 7/4 KamseenPorndvitien' •
Tampol 01200 scta Basnetshor
•TAXDIVOKE
Armica r: OR18C31302175411,
57.10
BA 10U100"
022.jpg,PASAR KIAT JIW SEDX,2018-03-03,10:18:00,MYR,Grocery,33.8,0.72,34.52,8.112,0.1728,8.2848,,"[{""name"": ""V STAD PO 2500"", ""qty"": null, ""unit_price"": null, ""total_price"": 13.6}, {""name"": ""BOTAK IKHH SARDIK"", ""qty"": null, ""unit_price"": null, ""total_price"": 20.2}, {""name"": ""CAT CHAES"", ""qty"": null, ""unit_price"": null, ""total_price"": 3}]",":
•.
r.
: *
•
•.a
110305"")
• PASAR KIAT JIW SEDX
79, JALAX PERHAS SAT!
BADAR BARL PERMAS MAYA
81750 PLENTOXG,
• J-R.
TEL : 07-3874904
с0. L0. JN0195358-0
OST NO. 000150511916)
03/03/1B,
15,00 ZR
EGETA"
023.jpg,Aeon Tebrau City,,,MYR,Food & Beverage,45.9,2.8,48.7,11.016,0.672,11.688,CASH,"[{""name"": ""Grean Te"", ""qty"": 1, ""unit_price"": 1.5, ""total_price"": 1.5}, {""name"": ""Yakiniku Bon 8"", ""qty"": 1, ""unit_price"": 12.0, ""total_price"": 12.0}, {""name"": ""Hiso/lakaza+\u00fcreen Tea"", ""qty"": 1, ""unit_price"": 13.8, ""total_price"": 13.8}, {""name"": ""Kiso Soup"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}]","•
...
:""
AB3064
41 dean Tebrau CIt
SIT7, Second Floor,
Aeon Tebrau City.
* TAX: INVOICE *
Order 1b.
Receipt 10.: 003-122022
zig i/0/318 0x: P
Cashler
Cathlar
Eat In
Çty
UP Too
Attent Tax
G-A0001
Grean"
024.jpg,TONY ROSAS,,05:16:55,MYR,Food & Beverage,231.06,23.1,269.4,55.4544,5.544,64.656,,"[{""name"": ""T A STRIP"", ""qty"": null, ""unit_price"": null, ""total_price"": 67.67}, {""name"": ""IR ROASTED VEGE"", ""qty"": null, ""unit_price"": null, ""total_price"": 15.25}, {""name"": ""BAKED POTATO"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""I IN STRIP"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""Nedius Hell"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""ER ROASTED VEGE"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""ICE LATTE"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""PEPSI"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","81100 JOHAR BARU.
Tel: 07-3510749:
Kebsite: wni.tonyrosas.com.my
EST ID: 000436699135
2 TRI
*1014 FAZLIN
Chi: 65991
' Gunsis
03 Kar is 05:16:55 FM
TBL43 / 1.
T A STRIP
.....
67.67 S
Kediua Kell
67.67,"
025.jpg,UNTHAKKA INTERNATIONAL,2016-03-26,16:14:00,USD,Food & Beverage,1.1,,1.2,1.1,,1.2,CASH,"[{""name"": null, ""qty"": null, ""unit_price"": 1.1, ""total_price"": 1.1}]","..
•
:
A03j>8
UNTHAKKA INTERNATIONAL SON BHO
,26 Mer 201a 16:14,
:12, delen Tempel 31XAmen Patidutten
Tempol 1200 Jehor batsulohet
TAX INVOKE
Ircice f : OR1 032807170024
3.0021 Vepsets.
$1.10
Total
;f"
026.jpg,YONG TAT HARKABE TRADING,2018-02-13,12:11:50,MYR,Retail,82.0,4.0,87.02,19.68,0.96,20.8848,CASH,"[{""name"": ""CASKET GPO1"", ""qty"": 1, ""unit_price"": 72.0, ""total_price"": 72.0}, {""name"": ""TONGST"", ""qty"": 1, ""unit_price"": 4.08, ""total_price"": 4.08}]","•
• .
,
d:
!*:
=
YONG TAT HARKABE TRADING
BIO 4 JALAN PERJIRALAN 10,
TANAN AUR BIRU:
81700 PASIA GUDAHA:.
JOHOR
TEL :07-2514733
FAX: 07-2314733
YONGTATOS @YAHOO.COMHY
GBT ID; 001370342056
JATAYR.
Doc "
027.jpg,Triple Six Point Enterprise,,,MYR,Food & Beverage,8.8,,22.6,2.112,,5.424,Cash,"[{""name"": ""Apollo cake"", ""qty"": 1, ""unit_price"": 0.5, ""total_price"": 0.5}, {""name"": ""FOO TOYA"", ""qty"": 1, ""unit_price"": null, ""total_price"": null}, {""name"": ""To Cashew"", ""qty"": 1, ""unit_price"": 1.9, ""total_price"": 1.8}]","•.
...
•
•
•
703133""
Triple Six Poind Enterpriso 666
No 14816 Jaian Formas 43 Bandar Daru Permes Joye:
Tel: 018-7674066
•
Paymont Types Cash
OTY TENi MeElNa: FOO TOYA.
Ix VS'Awisoom!
1x Apollo cake
or"
028.jpg,UNHAKKA INTERNATIONAL SON EHD,2018-03-25,15:50:00,MYR,Other,,,0.0,,,0.0,,[],"•
:
-
• .:
..:
•
UNHAKKA INTERNATIONAL SON EHD'
25 Mar 20181220
(807348-45)
2, Jean Tarpal 7M Xemen Pachdette
Tamped 1200 Jahar tabulohor
TAXINVONE
risked: OR18C3253217418
Lim
Tain
15:50
Chango.
-
Ast"
029.jpg,UNHARA NOMENONAL SON DHO,,,MYR,Other,84.6,,263.0,20.304,,63.12,CASH,"[{""name"": null, ""qty"": null, ""unit_price"": null, ""total_price"": null}]",":
!
..°
lo'
A03119
* UNHARA NOMENONAL SON DHO
(867324-47)
12, Jelen Tempol 7M Konasan Perhouten
TempoLe 1280 Jahar Barnelotoe
TAXINVOKE.
*Suck@220 0200212471
84.60
Total
inos
• Total Amount $263
49T G"
030.jpg,CONTENTO,2018-03-20,17:19:00,MYR,Food & Beverage,23.9,,23.9,5.736,,5.736,CASH,"[{""name"": ""ubie M"", ""qty"": 1, ""unit_price"": 3.9, ""total_price"": 3.9}, {""name"": ""Tao MT"", ""qty"": 1, ""unit_price"": 1.5, ""total_price"": 1.5}, {""name"": ""LIO CH"", ""qty"": 1, ""unit_price"": 1.0, ""total_price"": 1.0}, {""name"": ""CASI CILINE RY"", ""qty"": 1, ""unit_price"": 1.2, ""total_price"": 1.2}]","•
:
."",
:
.•
:
E,
:
A03125
CONTENTO (*K0761170-L)
15. JALAN FERNAS 10/7. PERTUS
B1750 MASAI JOHCR.»""
w .20/03/1817:19 0000002001429.
2 3.90 (072)
ubie M 1
1k 1. 50
Tao MT.
(r 1.00 Lsrack)
LIO CH
Ix 3 "
031.jpg,BENS INDEPENDENT GROCER SDN. BHD,2018-03-09,18:08:53,MYR,Grocery,100.94,6.06,107.0,24.2256,1.4544,25.68,CASH,"[{""name"": ""Evian Mineral W\u00e4ter 6x1,25L"", ""qty"": 2, ""unit_price"": 53.5, ""total_price"": 107.0}, {""name"": ""Fresh Cut Honey Jackfruit Peeled 400g"", ""qty"": 3, ""unit_price"": 8.9, ""total_price"": 26.7}]","BIC
BENS INDEPENDENT GROCER SDN. BHD:
(913144-A)
Lot 6, Jalan Batal,
Plaza: Batal, Damansara Heights
50490, Küala Lumpur
T:: 03-2093 7358 | F: 03-2093:7359
(GST REG NO 000243941376)
Tax Invoice :BATO1"
032.jpg,Bens Independent Grocer,2018-03-08,18:20:41,MYR,Grocery,81.0,4.86,85.86,19.44,1.1664,20.6064,Debit,"[{""name"": ""Dole Pineapple"", ""qty"": 3, ""unit_price"": 7.9, ""total_price"": 23.7}, {""name"": ""Farmhouse Fresh Milk Twin Pack 2x1L"", ""qty"": 1, ""unit_price"": 19.9, ""total_price"": 19.9}, {""name"": ""Fresh Cut Honeyeikfruit Peeled"", ""qty"": 1, ""unit_price"": 26.7, ""total_price"": 26.7}, {""name"": ""Nestle Bliss Yog Drink Strawberry 700g"", ""qty"": 1, ""unit_price"": 5.8, ""total_price"": 5.8}, {""name"": ""Vitagen Assorted 5x125ml"", ""qty"": 1, ""unit_price"": 4.9, ""total_price"": 4.9}]","BIC
BENS INDEPENDENT GROCER SON. BHO:
:(913144-A)*
Lot 6, Jalan Batal,,
Plaza: Batai, Damansara Heights
50490, Kuala Lumpur
T: 03-2093 7358 | F: 03-2093 7359
(GST REG NO 000243941376)
Tax Invoice: BAT"
033.jpg,Speed Hart S/B,2018-03-10,14:27:00,MYR,Retail,5.05,0.3,5.35,1.212,0.072,1.284,CASH,"[{""name"": ""Sunquick Oren 330ML"", ""qty"": 1, ""unit_price"": 5.0, ""total_price"": 5.0}]","=
99 SPEED HART S/B (519537-3)
LOT P.T. 2811, JALAN ANGSA:
TAMAN BERKELEY.
41150 KLANG, SELANGOR
1572-TMN OKT PANDAN
GST ID: NO: 000181747712
INVOICE NO: 18332/103/T0157
02:27PM
570285
- 104 SUNQUICK "
034.jpg,"STAR GROCER SON, BHD",2018-03-25,13:43:01,MYR,Grocery,66.17,0.0,67.0,15.8808,0.0,16.08,CASH,"[{""name"": ""CARROT S/M 500GM CH (PKT)"", ""qty"": 1, ""unit_price"": 1.8, ""total_price"": 1.8}, {""name"": ""JAMBU BATU (GUAVA SEEDLESS/. MUTIARA)"", ""qty"": 1, ""unit_price"": 6.92, ""total_price"": 6.92}, {""name"": ""MANGO HONEY (SUSU)"", ""qty"": 1, ""unit_price"": 4.91, ""total_price"": 4.91}, {""name"": ""PINEAPPLE LOCAL 1S"", ""qty"": 2, ""unit_price"": 8.6, ""total_price"": 17.2}, {""name"": ""TIMUN JEP\u00dcN (JAPANESE C\u00dcCUMBER)"", ""qty"": 1, ""unit_price"": 1.29, ""total_price"": 1.29}, {""name"": ""US GREEN APPLE (175)"", ""qty"": 1, ""unit_price"": 7.5, ""total_price"": 7.5}, {""name"": ""VALENCIA SA (105)"", ""qty"": 4, ""unit_price"": 5.9, ""total_price"": 23.6}]","STAR GROCER SON, BHD (1171881-W):
No 4, Desa Pandany Off kampong Pandans:
55100 Kuala Lumpur
(GST REG NO: 000915943424)
Tax Invoicesi
Tax Invoice: DSPO5201803250022
Cashier: Raja Nur
CARROT S/M 500GM "
035.jpg,RI COUNTER,2023-09-03,,MYR,Food & Beverage,119.4,10.4,129.8,28.656,2.496,31.152,CASH,"[{""name"": ""A&M SARSAP 330ML"", ""qty"": 1, ""unit_price"": 1.2, ""total_price"": 1.2}, {""name"": ""MOOPLUS REG\u00dcLAR 500ML"", ""qty"": 1, ""unit_price"": 1.9, ""total_price"": 1.9}, {""name"": ""Loacker wafer milk"", ""qty"": 2, ""unit_price"": 45.9, ""total_price"": 91.8}, {""name"": ""T IWALK N 2705"", ""qty"": 1, ""unit_price"": 2.7, ""total_price"": 2.7}, {""name"": ""fishermans t sifree Jem\u00f6n: 25g"", ""qty"": 1, ""unit_price"": 4.8, ""total_price"": 4.8}]",",09/03/.
=1.
:FTRN: CR0008252
RI COUNTER S
CASHIER: 2F
OTYUOM
UNiT mt Exc. Amt tax ode.
'Pricer
A&M SARSAP 330ML.
1 WALK: 309.20
1:20
1.20 ZILE
MOOPLUS REGÜLAR 500ML
TEMT WALK 1,90 190
iFALEE
ey Loack"
036.jpg,PLOTY VOM,2018-04-10,,MYR,Food & Beverage,0.9,0.09,0.99,0.216,0.0216,0.2376,CASH,"[{""name"": ""LL WALK- EL"", ""qty"": 1, ""unit_price"": 0.9, ""total_price"": 0.9}]","Nº:19-Ga19-1819
- 016-5498845
IT GST Ñô
-1.52
¡v(5-
• 4103/2018 406- 4PM.
T TAX INVOICE
TRN CR00089553
COUNTER 3 53
CASHIER LE
""PLOTY VOM
UNITAmt Exc. Amt Inci GST.
- Price~»
Ta Tax Code a
Futy.
LGB C"
037.jpg,RESTAURANT JIAWEI,2018-02-23,20:04:08,MYR,Food & Beverage,110.0,0.0,110.0,26.4,0.0,26.4,,"[{""name"": ""Red Cat Fish"", ""qty"": 1, ""unit_price"": 42.0, ""total_price"": 42.0}, {""name"": ""Steamed Qinger Clams"", ""qty"": 1, ""unit_price"": 20.0, ""total_price"": 20.0}, {""name"": ""Beancurd v Dao Gan"", ""qty"": 1, ""unit_price"": 18.0, ""total_price"": 18.0}, {""name"": ""Dragon Chives"", ""qty"": 1, ""unit_price"": 16.0, ""total_price"": 16.0}, {""name"": ""P\u00fc Er"", ""qty"": 1, ""unit_price"": 5.0, ""total_price"": 5.0}, {""name"": ""HOT Rice"", ""qty"": 1, ""unit_price"": 1.0, ""total_price"": 1.0}, {""name"": ""Rico Small"", ""qty"": 6, ""unit_price"": 3.0, ""total_price"": 18.0}]","RESTAURANT JIAWEI
JIAWE! HOUSE
002693074-K
13. JLN LASIK UTAMA 8
MEDAN NIAGA DAMAI SG BESI
57000 KL.
INVOICE
Invoice :8884
¡POS No: 2
EDate :
23/2/2018 20:04.08
Table
:
13
Cashiier: admin
İTER
QTY
U/P"
